ditta_cg18;clifor_cg44;ragione_sociale;listino;email
3;13;"FIPELL SERVICE S.R.L.";13;amministrazione@fipell.it
3;18;"DATAMATIC SPA";18;
3;22;"VIBERT ITALIA SRL";22;amministrazione@vibertitalia.it
3;29;"IL GHIRIGORO DI GIANNETTONI LEONARDO";29;Ilghirigoro2020@gmail.com
3;106;"RI.PLAST SRL";106;francesco.arzela@agefila.it
3;178;"HENKEL ITALIA SRL";178;adrianoalessi@alice.it
3;3075;"DIVINA COMMEDIA DI RENZO MAGGINI";3075;magginir27@magginir27.it
3;3082;"MASCAGNI FORNITURE DI MASCAGNI M.";3082;info@mascagniforniture.it
3;3096;"ALIQUO' LENZI FRANCESCO";3096;francescoaliquo@hotmail.com
3;3100;"TIPO-LITOGRAFIA PANCANI DI CHERIN A. & C SAS";3100;info@tipografiapancani.it
3;3137;"CARTA & CO SRL";3137;cartaeco.po@gmail.com
3;3180;"IL QUADRIFOGLIO DI VANESSA GRECO";3180;ilquadrifoglioquarrata@yahoo.it
3;3196;"NOEL SRL";3196;noel@ute-gds.it
3;3214;"AMBIENTE IMPRESA SCARL";3214;acambi@ambienteimpresa.net
3;3216;"FUTURA UFFICIO SRL";3216;info@futuraufficiosrl.it
3;3236;"GIOCATTOLI PAOLO E PAOLA SNC";3236;
3;3253;"HAPPY SCHOOL DI SIGNORI P. & ACCIAI C.";3253;happyschool.agliana@gmail.com
3;3259;"MARCO LINEA UFFICIO DI GIALDINI MARCO";3259;marcolineaufficio@gmail.com
3;3260;"CART.OFFICE SRL";3260;cart.office@virgilio.it
3;3271;"FIRENZE UFFICIO SRL";3271;INFO@FIRENZEUFFICIO.IT
3;3284;"LIBRERIA CARRARA SRL";3284;libreriacarrara@tin.it
3;3304;"CARTOLERIA BU DI ROMANELLI ELISA";3304;cartoleriabu@gmail.com
3;3307;"B OFFICE SRL";3307;INFO@BOFFICE.IT
3;3322;"BG OFFICE SRL";3322;commerciale@bgoffice.it
3;3331;PIXANDPRINT;3331;info@pixandprint.it
3;3333;"ONKART SAS DI AMERICCIONI LUCIO";3333;info@onkart.it
3;3335;"GIOCHIAMO INSIEME DI MASOTTI MARCO";3335;masottimarco@hotmail.it
3;3343;"CARTOMANIA DI LEDDA ANNA";3343;cartomania@live.it
3;3354;"SPINA GIOVANNI CARTOLERIA";3354;antoniettac33@gmail.com
3;3357;"OSAMA SPA";3357;roberto.giovannoni@osama.com
3;3368;"MARCO G.L. PAOLIERI ARCHITETTO";3368;MARCO@ARDEMO.IT
3;3383;"F.B GROUP SRL";3383;info@fbgroupitalia.com
3;3387;"LASER SNC DI MARRUGANTI ALESSIO & C.";3387;
3;3404;"MILLEIDEE DI MONNIS ANNARITA";3404;annarita.monnis@gmail.com
3;3414;"NON SOLO LIBRI SNC";3414;librerievialaura@gmail.com
3;3416;"LD TECHNOLOGY SAS DI LOIACONO DOMENICO";3416;info@ldtechnology.it
3;3439;"CARTOLINEA DI LENZINI ROBERTO";3439;cartilineava@libero.it
3;3451;"MACRO SRL";3451;commerciale@macro.srl
3;3456;"FARRATINI DI GUERRINI G. & C. SNC";3456;lvestri@farratini.it
3;3471;"CARTOLERIA NOTA BENE DI ESPOSITO ANNALISA";3471;
3;3476;"CASA DEL LIBRO SRLS";3476;lacasadellibrolucca@gmail.com
3;3480;"ROGAI & PARTNERS S.T.P. SRL";3480;ilaria@studiorogai.it
3;3486;"OFFICINA MECCANICA PAPUCCI MARIO DI PAPUCCI VITTORIO & C SNC";3486;
3;3492;"CARTOLERIA SORRENTO DI FRANCESCO PARISI";3492;francescoparisi1963@gmail.com
3;3564;"EDICOLA CARTOLERIA CIUTI PAOLO";3564;edicolapaolociuti@gmail.com
3;3609;"VENUTI CHIARA";3609;CHIARAVENUTI02@GMAIL.COM
3;3695;"MENCHINI ELISA & C. S.N.C.";3695;elisamenchini1@gmail.com
3;3742;"PUNTO&@CAPO S.N.C.  di S. Franchi e D. Lakhchal";3742;puntoeacapo23422@libero.it
3;3749;"C.I.V.A.S. PUBBLICITA' SRL";3749;civas.lucca@civaspubblicita.it
3;3867;"IL TABACCAIO MATTO DI DANIELA PROSPERI";3867;iltabaccaiomatto05@gmail.com
3;3907;"EDICOLANDIA DI VANNUCCI LUCIA";3907;scuola.fantasialv@gmail.com
3;3908;"CESPOLI ALESSANDRO";3908;CESPOLIALE@LIBERO.IT
3;3918;"ARTE SCUOLA DI BIANCO ALESSANDRA";3918;artescuola2015@gmail.com
3;4064;"L & M DI LIN AIQING";4064;1499473116@QQ.COM
3;27231;"BOUTIQUE DELLA CARTA DI NASTASE SICA";27231;
3;27259;"IN... CARTA DI MICHELA MILIONI";27259;incartamm@gmail.com
3;27320;"OFFICE POINT DI OSSO MARIO & C. SAS";27320;officepointsas@gmail.com
3;27403;"LIBRERIA COSSU DI COSSU SEBASTIANA M.";27403;sebiana74@tiscali.it
3;27426;"CASA DELLA PENNA SNC";27426;casadellapennalaspezia@gmail.com
3;27768;"MA.GI.CA. SAS DI ANGELOZZI M. & C.";27768;matteo_angelozzi@hotmail.com
3;28649;"I&L FIRENZE DI VENTURA E LOGI SAS";28649;iandlpelletterie@gmail.com
3;29675;"PUNTO CONTABILE SNC CIOPPI & C";29675;info@puntocontabile.eu
3;29887;"LA CARTOLERIA CRISTINA DI BARZINI CRISTI";29887;lacartoleriadicristina@gmail.com
3;31027;"LO SCOLARO DI LOBINA ANTONINO SAS";31027;loscolaro@tiscali.it
3;31629;"CARTOLERIA AZZENA E SERRA SNC";31629;azzenaserra@gmail.com
3;32850;"MARTINELLI MODENA SRL";32850;modena@martinellimodena.com
3;33434;"CAREDDU LUIGIA ANNA";33434;luisacareddu@tiscali.it
3;33802;"CARTOLERIA GALIB DI MEDDE LIBERATA";33802;galib@hotmail.it
3;100000;"PROVA -           NON SPEDIRE -                NON FATTURARE";100000;r.t.bambini@gmail.com
3;100277;"PERUZZI MARCO";100277;MPERU85@GMAIL.COM
